Name,Year,Duration,Rating,MetaScore,Vote,Gross
Avengers: Infinity War,2018,149,8.5,68,563029,678815482
Logan,2017,137,8.1,77,528899,226277068
Wonder Woman,2017,141,7.5,76,459157,412563408
Dunkirk,2017,106,7.9,94,440547,188373161
Black Panther,2018,134,7.4,88,440302,700059566
Star Wars: Episode VIII - The Last Jedi,2017,152,7.2,85,437887,620181382
Guardians of the Galaxy Vol. 2,2017,136,7.7,67,436184,389813101
Thor: Ragnarok,2017,130,7.9,74,420837,315058289
Spider-Man: Homecoming,2017,133,7.5,73,382665,334201140
Get Out,2017,104,7.7,84,357253,176040665
Blade Runner 2049,2017,164,8.0,81,355751,92054159
Baby Driver,2017,112,7.6,86,341561,107825862
Deadpool 2,2018,119,7.8,66,331416,324535803
It,2017,135,7.4,69,330003,327481748
"Three Billboards Outside Ebbing, Missouri",2017,115,8.2,88,310920,54513740
Justice League,2017,120,6.5,45,306485,229024295
The Shape of Water,2017,123,7.4,87,279324,63859435
Ready Player One,2018,140,7.5,64,263526,137690172
John Wick: Chapter 2,2017,122,7.5,75,255557,92029184
A Quiet Place,2018,90,7.6,82,254606,188024361
Coco,2017,105,8.4,81,249181,209726015
Beauty and the Beast,2017,129,7.2,65,225954,504014165
Jumanji: Welcome to the Jungle,2017,119,7.0,58,224997,404515480
Kong: Skull Island,2017,118,6.7,62,223758,168052812
Alien: Covenant,2017,122,6.4,65,216933,74262031
Pirates of the Caribbean: Dead Men Tell No Tales,2017,129,6.6,39,216335,172558876
Kingsman: The Golden Circle,2017,141,6.8,44,215905,100234838
Venom,2018,112,6.8,35,206603,213429141
Mission: Impossible - Fallout,2018,147,7.8,86,202410,220159104
13 Reasons Why,2017,60,8.1,Unknown,198772,Unknown
Annihilation,2018,115,6.9,79,198635,32732301
War for the Planet of the Apes,2017,140,7.5,82,192180,146880162
Jurassic World: Fallen Kingdom,2018,128,6.2,51,189924,416769345
Solo: A Star Wars Story,2018,135,7.0,62,189794,213767512
The Greatest Showman,2017,105,7.7,48,180920,174340174
Ant-Man and the Wasp,2018,118,7.2,70,179788,216648740
Bohemian Rhapsody,2018,134,8.3,49,176363,194917649
The Fate of the Furious,2017,136,6.7,56,172435,226008385
Life,2017,104,6.6,54,170362,30234022
Murder on the Orient Express,2017,114,6.5,52,169012,102826543
Ghost in the Shell,2017,107,6.4,52,167438,40533014
Incredibles 2,2018,118,7.8,80,162477,608581744
Lady Bird,2017,94,7.4,94,161431,48958273
King Arthur: Legend of the Sword,2017,126,6.8,41,161219,39175066
Wind River,2017,107,7.7,73,157056,33800859
The Hitman's Bodyguard,2017,118,6.9,47,152991,75468583
Tomb Raider,2018,119,6.3,48,148612,57421715
The Mummy,2017,110,5.5,34,146550,80101125
Mother!,2017,121,6.6,75,144650,17800004
Atomic Blonde,2017,115,6.7,63,141868,51573925
Game Night,2018,100,7.0,66,141270,69001013
Bright,2017,117,6.4,29,141193,Unknown
Call Me by Your Name,2017,132,7.9,93,139056,18095701
Valerian and the City of a Thousand Planets,2017,137,6.5,51,132784,41189488
Bird Box,2018,124,6.7,52,132291,Unknown
A Star Is Born,2018,136,8.1,88,130288,202322968
"I, Tonya",2017,120,7.5,77,126583,30014539
Darkest Hour,2017,125,7.4,75,125748,56443120
Baywatch,2017,116,5.6,37,125590,58060186
American Made,2017,115,7.2,65,122577,51342000
Red Sparrow,2018,140,6.6,53,120961,46874505
The Punisher,2017,53,8.6,Unknown,120748,Unknown
Hereditary,2018,127,7.3,87,120408,44069456
Aquaman,2018,143,7.5,55,119088,268594515
Ocean's Eight,2018,110,6.2,61,117581,139377762
Transformers: The Last Knight,2017,154,5.2,27,111954,130168683
La casa de papel,2017,70,8.6,Unknown,109187,Unknown
The Lego Batman Movie,2017,104,7.3,75,108730,175750384
Mindhunter,2017,60,8.6,Unknown,107139,Unknown
Fantastic Beasts: The Crimes of Grindelwald,2018,134,6.8,52,106345,158201282
The Disaster Artist,2017,104,7.4,76,103691,21120616
The Handmaid's Tale,2017,60,8.6,Unknown,102242,Unknown
Wonder,2017,113,8.0,66,101981,132422809
The Dark Tower,2017,95,5.7,34,101518,50701325
Rampage,2018,107,6.1,45,100886,99345950
Logan Lucky,2017,118,7.0,78,100022,27780977
The Post,2017,116,7.2,83,99154,81903458
The Big Sick,2017,120,7.6,86,98869,42872467
Ozark,2017,60,8.4,Unknown,95633,Unknown
Iron Fist,2017,55,6.7,Unknown,95426,Unknown
Taboo,2017,59,8.5,Unknown,94706,Unknown
Molly's Game,2017,140,7.5,71,93604,28780744
The Haunting of Hill House,2018,50,8.8,Unknown,93595,Unknown
Altered Carbon,2018,60,8.2,Unknown,92988,Unknown
Big Little Lies,2017,60,8.6,Unknown,92299,Unknown
The Meg,2018,113,5.7,46,90810,143005856
T2 Trainspotting,2017,117,7.2,67,90530,2402004
Dark,2017,60,8.6,Unknown,90153,Unknown
Isle of Dogs,2018,101,7.9,82,88919,32015231
The Boss Baby,2017,97,6.3,50,88203,175003033
Power Rangers,2017,124,6.0,44,88147,85067486
Despicable Me 3,2017,89,6.3,49,85474,264624300
Annabelle: Creation,2017,109,6.5,62,83916,102092201
Maze Runner: The Death Cure,2018,143,6.2,50,82621,58032443
Pacific Rim: Uprising,2018,111,5.6,44,81139,59185715
The Killing of a Sacred Deer,2017,121,7.0,73,80527,2291901
Upgrade,2018,100,7.6,67,79997,11871365
BlacKkKlansman,2018,135,7.6,83,79792,48271960
The End of the F***ing World,2017,25,8.2,Unknown,79044,Unknown
What Happened to Monday,2017,123,6.9,47,78554,Unknown
Phantom Thread,2017,130,7.5,90,78331,21023275
Fifty Shades Darker,2017,118,4.6,33,77864,114376885
Gifted,2017,101,7.6,60,77549,24801212
Sicario: Day of the Soldado,2018,122,7.1,61,77543,50072235
The Cloverfield Paradox,2018,102,5.6,37,76791,Unknown
The Foreigner,2017,113,7.0,55,76597,34393507
The Equalizer 2,2018,121,6.8,50,75455,102084362
xXx: Return of Xander Cage,2017,107,5.2,42,75281,44898413
The Predator,2018,107,5.5,48,74851,51024708
First Man,2018,141,7.5,84,74554,44936545
Geostorm,2017,109,5.3,21,73422,33700160
The Commuter,2018,105,6.3,56,73110,36343858
The Nun,2018,96,5.5,46,72989,117443149
Happy Death Day,2017,96,6.5,57,71913,55683845
